lastname	firstname	cp_name	tags	pseudonyms
Brown	Patrick	Patrick Brown	fantasy, comics, detailed	
Browning	Rob	Rob Browning	surrrealism, scene	
Brubaker	Ed	Ed Brubaker	comics, high contrast	
Bruegel the Elder	Pieter	Pieter Bruegel the Elder	renaissance, landscape, scene	
Brueghel the Elder	Jan	Jan Brueghel the Elder	renaissance, landscape, scene	
Brueghel the Younger	Pieter	Pieter Brueghel the Younger	renaissance, landscape, scene	
Brunelleschi	Filippo	Filippo Brunelleschi	renaissance, architecture,	
Bruno	Nicolas	Nicolas Bruno	photography, surrealism	
Buchet	Gustave	Gustave Buchet	cubism, abstract, dark	
Buchet	Philippe	Philippe Buchet	comics	
Buchholz	Quint	Quint Buchholz	low contrast, scene, cloudscape	
Buckman	Zoe	Zoe Buckman	installation, fashion	
Buffet	Bernard	Bernard Buffet	expressionism, high contrast	
Bujnowski	Leszek	Leszek Bujnowski	surrealism, photography, dark	
Bullough	James	James Bullough	portrait, streetart, realism	
Bunny	Rupert	Rupert Bunny	landscape, scene	
Bunt	Gary	Gary Bunt	low contrast, landscape, scene, storybook realism	
Burch	Laurel	Laurel Burch	vibrant, high contrast	
Burchfield	Charles E.	Charles E. Burchfield	watercolor, high contrast	
Burdeny	David	David Burdeny	photography, high contrast	
Burdisio	Alejandro	Alejandro Burdisio	digital, landscape, fantasy, sci-fi, dark	
Buren	Daniel	Daniel Buren	high contrast, vibrant, installation, sculpture	
Burgerman	Jon	Jon Burgerman	pop art, colorful, vibrant	
Burgert	Jonas	Jonas Burgert
Burlet	Richard	Richard Burlet	art nouveau, impressionism	
Burliuk	David	David Burliuk	cubism, fauvism	
Burne-Jones	Edward	Edward Burne-Jones	renaissance, romanticism,	
Burns	Charles	Charles Burns	cartoon, high contrast, dark	
Burns	Jim	Jim Burns	sci-fi, scene, character	
Burri	Alberto	Alberto Burri	sculpture, abstract, cubism	
Burri	Rene	Rene Burri	photography, monochromatic	
Burrington	Stasia	Stasia Burrington	portrait, whimsical, watercolor	
Burroughs	William S.	William S. Burroughs	abstract, monochromatic, photography, personality	
Burton	Tim	Tim Burton	dark, high contrast, cartoon	
Buscema	John	John Buscema	comics, character	
Bussière	Gaston	Gaston Bussière	symbolism, impressionism, detailed	
Butcher	Kaethe	Kaethe Butcher	high contrast, messy, portrait	
Butto	Saturno	Saturno Butto	surrealism, portrait, figurativism	
Byam Shaw Byam Shaw	romanticism, scene	
Byars	James Lee	James Lee Byars	installation, sculpture	
Byerley	Bob	Bob Byerley	detailed, whimsical, scene	
Cabanel	Alexandre	Alexandre Cabanel	landscape, romanticism	
Cadmus	Paul	Paul Cadmus	nudity, scene, portrait, realism	
Caesar	Ray	Ray Caesar	whimsical, scene, character, dark	
Caffery	Debbie Fleming	Debbie Fleming Caffery	photography, monochromatic, dark	
Cahun	Claude	Claude Cahun	monochromatic, high contrast	
Cai	Zhichao	Zhichao Cai	fantasy, digital	
Caillebotte	Gustave	Gustave Caillebotte	impressionism, scene, landscape	
Calame	Alexandre	Alexandre Calame	landscape, romanticism	
Calatrava	Santiago	Santiago Calatrava	architecture, angular	
Caldecott	Randolph	Randolph Caldecott	children's illustration, scene, detailed	
Caldwell	Clyde	Clyde Caldwell	fantasy, sci-fi	
Callaghan	George	George Callaghan	whimsical, landscape, scene	
Callahan	Harry	Harry Callahan	photography, monochromatic	
Callebaut	Vincent	Vincent Callebaut	architecture, sci-fi, 3D	
Calleri	Fred	Fred Calleri	whimsical, scene, portrait, vibrant	
Callis	Jo Ann	Jo Ann Callis	photography, scene, still life	
Camoin	Charles	Charles Camoin	fauvism, colorful, landscape, portrait	
Campau	Mike	Mike Campau	photography, digital, 3D	
Campbell	Eddie	Eddie Campbell	comics, cartoon	
Campbell	J. Scott	J. Scott Campbell	comics, character	
Campin	Robert	Robert Campin	renaissance, character, scene	
Campion	Pascale	Pascale Campion	scene, character, high contrast	
Canaletto Canaletto	landscape	
Canete	Eric	Eric Canete	fantasy, character, messy	
Canova	Antonio	Antonio Canova	sculpture, renaissance	
Capek	Josef	Josef Capek	cubism, expressionism, portrait, fauvism	
Capp	Al	Al Capp	comics, cartoon	
Cappiello	Leonetto	Leonetto Cappiello	graphic design, vibrant, high contrast	
Caravaggio Caravaggio	dark, renaissance, baroque	
Carle	Eric	Eric Carle	children's illustration, colorful	
Carlsen	Emil	Emil Carlsen	impressionism, still life, seascape, landscape	
Carlson	Larry	Larry Carlson	psychedelic, surrealism, digital, vibrant, colorful	
Carman	Bill	Bill Carman	fantasy, pop art, surrealism	
Carmichael	Franklin	Franklin Carmichael	watercolor, landscape	
Carnwath	Squeak	Squeak Carnwath	abstract, collage	
Carpeaux	Jean-Baptiste	Jean-Baptiste Carpeaux	romanticism, sculpture, portrait	
Carr	Emily	Emily Carr	expressionism, landscape	
Carracci	Annibale	Annibale Carracci	renaissance, baroque	
Carriera	Rosalba	Rosalba Carriera	baroque, portrait	
Carrington	Dora	Dora Carrington	landscape, surrealism	
Carrington	Leonora	Leonora Carrington	surrealism, dark, scene	
Carson	Michael	Michael Carson	realism, impressionism, figurativism, portrait, character	
Cartier-Bresson	Henri	Henri Cartier-Bresson	photography, monochromatic	
Carus	Carl Gustav	Carl Gustav Carus	dark, romanticism, landscape	
Caruso	Santiago	Santiago Caruso	dark, horror, surrealism	
Casas	Ramon	Ramon Casas	impressionism, scene	
Casorati	Felice	Felice Casorati	portrait, still life, impressionism, expressionism	
Cassaday	John	John Cassaday	comics, detailed	
Cassatt	Mary	Mary Cassatt	impressionism, character, scene	
Casson	A. J.	A. J. Casson	watercolor, landscape, clean	
Catalano	Bruno	Bruno Catalano	sculpture	
Catesby	Mark	Mark Catesby	nature, animals, romanticism	
Catherall	Paul	Paul Catherall	flat color, architecture, graphic design	
Catlett	Elizabeth	Elizabeth Catlett	melanin, figurativism	
Catlin	George	George Catlin	portrait	
Cattelan	Maurizio	Maurizio Cattelan	installation, sculpture	
Caulfield	Patrick	Patrick Caulfield	colorful, vibrant, high contrast	
Cavanaugh	Robby	Robby Cavanaugh	photography, portrait, scene, character	
Ceccoli	Nicoletta	Nicoletta Ceccoli	surrealism, whimsical, portrait	
Cecile	Agnes	Agnes Cecile	portrait, watercolor	
Celmins	Vija	Vija Celmins	seascape, monochromatic, photorealism	
Cézanne	Paul	Paul Cézanne	impressionism, cubism, romanticism	
Chabas	Paul	Paul Chabas	figurativism, impressionism, portrait, scene	
Chagall	Marc	Marc Chagall	fauvism, impressionism, surrealism	
Chamberlain	John	John Chamberlain	sculpture, abstract, expressionism	
Chambers	Tom	Tom Chambers	landscape, scene, photography, surrealism	
Chassériau	Théodore	Théodore Chassériau	scene, romanticism	
Chast	Roz	Roz Chast	cartoon, detailed	
Chausheva	Katia	Katia Chausheva	dark, portrait, photography	
Chaykin	Howard	Howard Chaykin	comics	
Cheng	Hsiao-Ron	Hsiao-Ron Cheng	portrait, digital, pop art	
Cheng	Yanjun	Yanjun Cheng	portrait, digital	
Cheval	Michael	Michael Cheval	surrealism, scene, character	
Chevrier	Sandra	Sandra Chevrier	portrait, comics	
Chicago	Judy	Judy Chicago	abstract, vibrant, psychedelic	
Chihuly	Dale	Dale Chihuly	abstract, sculpture, vibrant	
Childish	Billy	Billy Childish	figurativism, landscape,scene	
Childs	Casey	Casey Childs	portrait, low contrast	
Chipperfield	David	David Chipperfield	architecture, brutalism, photography, angular	
Cho	Frank	Frank Cho	comics, detailed, nudity	
